"id","cnpj","natureza_juridica","razao_social","data_inicio_atividades","data_situacao_cadastral","data_situacao_especial","motivo_situacao_cadastral","situacao_cadastral","situacao_especial","nome_fantasia"
1116,"33225613000186","1210",CONSORCIO INTERMUNICIPAL DO ALTO DO RIO GRANDE - CIMARGE,"20190314","20190314","","00","02","",CIMARGE
1436,"31164621000134","1210",CONSORCIO PUBLICO DE MANEJO DE RESIDUOS SOLIDOS DA REGIAO METROPOLITANA B,"20180516","20180516","","00","02","",CONSORCIO PUBLICO DE RESIDUOS SOLIDOS
1447,"37568608000127","1210",CONSORCIO PUBLICO DE MANEJO DOS RESIDUOS SOLIDOS DO VALE DO CURU,"20200623","20231206","","00","02","",CPMRSVC
1205,"41542250000130","1210",CONSORCIO INTERMUNICIPAL MAMPITUBA - CIMA,"20210331","20210331","","00","02","",CONSORCIO MAMPITUBA - CIMA
1244,"43863467000178","1210",CONSORCIO INTERMUNICIPAL MULTIFINALITARIO DOS MUNICIPIOS DO EXTREMO SUL DE MINAS - CIMESMI,"20210921","20210921","","00","02","",""
1226,"53255914000160","1210",CONSORCIO INTERMUNICIPAL MULTIFINALITARIO DE GESTAO PUBLICA DOS MUNICIPIOS DO CENTRO OESTE MINEIRO - CIMGEP,"20230512","20230512","","00","02","",""
1614,"03827511000170","1210",CONSORCIO ROTA DO YUCUMA,"20000519","20050827","","00","02","",ROTA DO YUCUMA
1312,"06271830000130","1210",CONSORCIO INTERMUNICIPAL PARA O DESENVOLVIMENTO DO POLO TURISTICO DO CIRCUITO DAS FRUTAS,"20040517","0","","00","02","",""
1141,"08080287000119","1210",CONSORCIO INTERMUNICIPAL DO SERTAO DE ALAGOAS - CONISA,"20060619","20060619","","00","02","",CONISA
1311,"07316963000148","1210",CONSORCIO INTERMUNICIPAL PARA O DESENVOLVIMENTO DO POLO TURISTICO DO CIRCUITO DAS AGUAS PAULISTA,"20050302","20050302","","00","02","",""
1598,"02270946000101","1210",CONSORCIO INTERMUNICIPAL MULTIFINALITARIO GUANDU - CIM GUANDU,"19971002","19990501","","00","02","",CIM GUANDU
1513,"08146697000115","1210",CONSORCIO PUBLICO INTERMUNICIPAL DE DESENVOLV.DO TERRITORIO NORDESTE DO PARANA,"20060623","20060623","","00","02","",CODENOP
